applicant_id,age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,recent_bankruptcy,loan_amount,term_months,interest_rate,channel,product_type,default_12m
24,41,56017.54,21,731.0,0.373,0.452,0,0,20036.69,36,5.0,Online,Personal Loan,0
25,53,59242.93,14,480.0,0.441,0.231,0,0,23446.1,36,25.0,Branch,Auto Refi,1
26,32,84967.34,18,630.0,0.199,0.109,0,0,3825.43,36,5.0,Online,Debt Consolidation,0
27,42,87949.98,23,586.0,0.276,0.33,1,0,5104.29,36,16.91,Partner,Debt Consolidation,0
28,64,26697.35,2,690.0,0.401,0.46,0,0,23676.23,36,5.46,Online,Debt Consolidation,0
29,45,84950.18,1,527.0,0.241,0.308,0,0,27920.32,60,17.98,Branch,Personal Loan,0
30,69,88579.1,12,718.0,0.095,0.231,1,0,10670.17,60,5.0,Branch,Debt Consolidation,0
31,47,87293.75,12,726.0,0.394,0.376,0,0,6966.05,60,5.0,Branch,Personal Loan,0
32,62,54407.46,24,566.0,0.252,0.457,0,0,24880.4,60,15.34,Online,Debt Consolidation,1
33,48,60403.96,8,693.0,0.244,0.733,0,0,19842.68,36,5.08,Branch,Debt Consolidation,1
34,36,33651.57,24,716.0,0.334,0.48,0,0,14288.72,36,5.0,Branch,Personal Loan,0
35,35,23100.94,2,746.0,0.32,0.157,0,0,8871.54,36,5.0,Branch,Debt Consolidation,0
36,67,57769.71,1,577.0,0.44,0.046,2,0,23708.12,60,22.98,Branch,Auto Refi,0
37,64,66529.37,13,567.0,0.17,0.0,1,0,2000.0,36,12.92,Branch,Personal Loan,0
38,23,68535.39,15,785.0,0.591,0.518,0,0,33255.02,36,5.0,Partner,Personal Loan,0
39,57,81422.79,13,622.0,0.15,0.24,0,0,9603.35,60,5.42,Partner,Personal Loan,0
40,27,126222.72,3,643.0,0.273,0.55,1,0,18957.84,60,12.71,Online,Auto Refi,0
41,41,57080.19,1,724.0,0.216,0.686,0,0,22767.18,60,5.0,Online,Debt Consolidation,0
42,29,43888.62,15,598.0,0.327,0.568,1,0,6293.19,60,19.41,Online,Personal Loan,1
43,59,75922.69,7,661.0,0.322,0.405,0,0,19212.38,36,6.15,Branch,Debt Consolidation,0
44,38,69444.85,0,742.0,0.34,0.82,1,0,20631.4,36,6.61,Online,Auto Refi,0
45,24,53509.57,17,581.0,0.351,0.358,1,0,16114.2,36,19.54,Branch,Auto Refi,1
46,45,83217.04,21,645.0,0.477,0.269,0,0,2392.01,60,9.02,Partner,Personal Loan,0
47,34,48761.3,8,601.0,0.339,0.517,0,0,12271.87,36,13.74,Online,Debt Consolidation,0
48,29,62428.67,11,626.0,0.487,0.605,1,0,2000.0,36,20.03,Partner,Auto Refi,0
49,46,63581.65,4,763.0,0.11,0.0,1,0,10879.77,36,5.0,Online,Debt Consolidation,1
50,22,46045.75,20,778.0,0.058,0.672,1,0,16062.94,60,5.0,Branch,Auto Refi,1
51,40,30805.9,2,698.0,0.335,0.125,0,0,15421.19,36,5.0,Partner,Debt Consolidation,0
52,48,69379.0,7,717.0,0.359,0.04,0,0,19004.87,60,5.0,Branch,Auto Refi,0
53,67,92374.31,21,715.0,0.256,0.381,0,0,7640.09,36,5.0,Online,Auto Refi,1
54,27,84218.04,15,633.0,0.319,0.237,0,0,2000.0,60,7.11,Online,Debt Consolidation,0
55,64,85555.99,17,697.0,0.449,0.533,1,0,13695.77,60,10.18,Online,Personal Loan,0
56,28,49021.01,11,589.0,0.4,0.521,0,1,16972.5,60,25.0,Online,Auto Refi,1
57,67,69281.39,11,613.0,0.28,0.512,2,0,18813.33,36,20.91,Online,Personal Loan,0
58,55,36516.81,20,674.0,0.344,0.695,0,0,27885.27,36,7.97,Online,Personal Loan,0
59,34,68378.3,3,606.0,0.411,0.387,0,0,10867.75,36,13.24,Online,Debt Consolidation,1
60,37,92775.69,9,591.0,0.172,0.523,1,0,18130.91,36,16.36,Partner,Debt Consolidation,1
61,56,93396.74,8,630.0,0.223,0.116,0,0,18575.54,60,5.0,Online,Auto Refi,0
62,60,105608.97,3,760.0,0.431,0.642,1,0,22529.49,36,5.07,Online,Personal Loan,0
63,24,84783.56,23,789.0,0.112,0.35,0,0,14554.06,36,5.0,Branch,Personal Loan,0
64,22,74514.98,0,678.0,0.189,0.393,0,0,25687.86,60,5.0,Online,Debt Consolidation,0
65,26,82494.46,4,721.0,0.174,0.382,0,0,18514.17,36,5.0,Online,Personal Loan,0
66,62,78611.48,24,641.0,0.43,0.43,0,0,19135.99,36,10.25,Online,Personal Loan,0
67,24,48854.92,2,535.0,0.19,0.376,0,0,16771.4,60,16.63,Branch,Debt Consolidation,0
68,49,34693.4,10,617.0,0.415,0.017,0,0,12132.76,36,8.14,Branch,Debt Consolidation,0
69,38,82655.17,12,658.0,0.278,0.698,0,0,16297.31,60,8.32,Branch,Personal Loan,0
70,46,106866.97,21,690.0,0.533,0.32,0,0,15382.18,36,6.3,Online,Personal Loan,0
71,64,83479.43,10,673.0,0.335,0.375,0,0,26093.49,60,5.19,Online,Personal Loan,0
72,54,27225.53,5,660.0,0.448,0.411,1,0,21560.25,60,12.82,Online,Personal Loan,0
73,30,54613.96,21,640.0,0.375,0.555,0,0,13938.5,60,10.59,Online,Personal Loan,0
74,56,61066.14,3,704.0,0.266,0.351,0,0,12260.25,36,5.0,Online,Debt Consolidation,0
75,34,27879.13,6,585.0,0.318,0.663,0,0,4952.62,60,17.01,Partner,Personal Loan,0
76,51,37462.06,2,736.0,0.321,0.825,0,0,21589.71,36,5.0,Online,Auto Refi,1
77,68,64258.49,21,639.0,0.265,0.777,0,0,22833.56,60,10.89,Partner,Debt Consolidation,0
78,35,70232.69,9,825.0,0.427,0.501,0,0,13435.12,36,5.0,Branch,Auto Refi,0
79,28,45279.72,4,658.0,0.621,0.335,0,0,2000.0,36,11.12,Partner,Debt Consolidation,0
80,34,36541.21,18,646.0,0.334,0.329,2,0,17620.07,36,15.92,Branch,Debt Consolidation,1
81,43,88866.12,17,641.0,0.406,0.376,0,0,10858.86,36,9.23,Branch,Auto Refi,1
82,60,57349.42,16,647.0,0.383,0.28,0,0,16121.64,60,7.29,Online,Personal Loan,0
83,41,60211.76,23,723.0,0.05,0.533,1,0,13286.29,36,5.0,Branch,Personal Loan,1
84,36,54066.6,0,677.0,0.379,0.405,0,0,19222.25,36,5.72,Online,Personal Loan,0
85,65,49576.49,4,749.0,0.373,0.447,0,0,21439.05,60,5.0,Online,Personal Loan,1
86,38,91055.67,20,713.0,0.17,0.388,0,0,15211.52,60,5.0,Partner,Personal Loan,0
87,67,47404.07,16,682.0,0.105,0.54,0,0,10108.82,36,5.0,Online,Personal Loan,0
88,44,68593.67,24,706.0,0.371,0.501,0,0,17723.16,36,5.0,Online,Debt Consolidation,0
89,46,65174.09,20,764.0,0.517,0.379,1,0,20726.11,36,5.0,Partner,Personal Loan,0
90,45,26036.52,8,726.0,0.276,0.42,0,1,26522.22,60,11.36,Online,Personal Loan,0
91,65,69818.94,10,700.0,0.28,0.42,2,0,28456.67,36,9.81,Branch,Debt Consolidation,0
92,61,34120.62,21,710.0,0.597,0.584,1,0,12735.67,36,12.29,Online,Debt Consolidation,1
93,49,77709.2,6,599.0,0.428,0.294,0,0,8293.68,60,13.26,Online,Auto Refi,0
94,35,41271.67,6,830.0,0.174,0.357,0,0,21329.15,60,5.0,Online,Auto Refi,0
95,65,75440.37,1,717.0,0.234,0.07,0,0,11668.43,36,5.0,Online,Auto Refi,0
96,21,56409.88,13,724.0,0.582,0.235,0,0,16050.27,36,5.0,Partner,Debt Consolidation,1
97,45,51513.51,15,678.0,0.24,0.403,1,0,18776.81,36,7.0,Online,Personal Loan,1
98,27,69211.33,4,519.0,0.256,0.363,0,0,13650.29,36,19.86,Partner,Personal Loan,1
99,29,35562.82,17,661.0,0.4,0.058,1,0,23030.04,60,8.05,Online,Debt Consolidation,0
100,44,63615.59,3,685.0,0.288,0.555,0,0,14057.16,60,5.0,Online,Auto Refi,0
101,21,80645.0,11,622.0,0.373,0.274,1,0,13988.68,36,14.03,Partner,Debt Consolidation,0
102,64,85852.09,18,622.0,0.355,0.126,0,0,6931.48,60,7.71,Branch,Auto Refi,0
103,28,55747.38,12,656.0,0.303,0.523,0,0,4023.7,36,7.32,Online,Personal Loan,0
104,44,58666.95,5,734.0,0.465,0.617,1,0,21425.4,36,7.6,Branch,Debt Consolidation,0
105,31,35161.95,10,768.0,0.167,0.0,0,0,15054.96,60,5.0,Online,Auto Refi,0
106,37,49985.74,14,692.0,0.334,0.586,0,0,17869.22,60,5.33,Online,Personal Loan,0
107,28,33797.79,20,640.0,0.25,0.407,0,0,21381.85,36,6.85,Online,Debt Consolidation,0
108,55,73801.47,16,655.0,0.517,0.399,0,0,6291.72,60,10.12,Online,Debt Consolidation,1
109,55,81843.33,1,687.0,0.299,0.226,0,0,11811.65,36,5.0,Online,Auto Refi,0
110,53,55915.52,12,695.0,0.551,0.419,0,0,21287.22,60,6.97,Branch,Auto Refi,0
111,25,43835.36,22,710.0,0.269,0.432,0,0,19533.22,36,5.0,Online,Personal Loan,0
112,62,71163.84,24,649.0,0.333,0.901,0,0,14511.58,36,12.51,Branch,Debt Consolidation,1
113,59,47640.69,0,717.0,0.451,0.554,0,0,13013.84,60,5.0,Branch,Auto Refi,0
114,61,78438.78,3,712.0,0.205,0.45,0,0,12664.87,60,5.0,Online,Debt Consolidation,1
115,48,103708.61,14,652.0,0.501,0.686,0,0,19824.18,60,13.22,Online,Personal Loan,1
116,27,47311.34,15,560.0,0.323,0.627,0,0,34741.81,36,19.65,Online,Auto Refi,1
117,29,50166.49,10,618.0,0.369,0.159,0,0,9122.13,36,8.65,Partner,Personal Loan,0
118,28,35808.59,2,790.0,0.386,0.582,0,0,29606.12,36,5.0,Branch,Personal Loan,0
119,32,67922.18,11,561.0,0.311,0.47,0,0,6179.38,36,17.29,Branch,Debt Consolidation,1
120,54,66562.48,11,772.0,0.223,0.31,0,0,4624.8,36,5.0,Branch,Personal Loan,0
121,53,59588.81,10,559.0,0.331,0.243,0,0,7330.35,60,15.32,Online,Debt Consolidation,0
122,68,65322.94,15,626.0,0.079,0.421,1,0,28890.91,36,9.31,Online,Debt Consolidation,0
123,43,44126.5,20,654.0,0.163,0.448,0,0,2523.89,60,5.0,Partner,Auto Refi,0
124,44,31736.01,20,805.0,0.303,0.68,0,0,9425.53,36,5.0,Online,Personal Loan,0
125,57,49818.6,12,682.0,0.506,0.0,0,0,12413.65,36,5.0,Online,Debt Consolidation,0
126,55,26689.55,11,665.0,0.502,0.198,0,0,17492.47,60,6.9,Partner,Personal Loan,0
127,64,47309.44,9,615.0,0.438,0.489,0,0,17498.75,36,13.97,Online,Personal Loan,0
128,60,71194.55,10,717.0,0.135,0.422,0,1,15556.11,36,9.64,Online,Personal Loan,0
129,42,66193.3,17,644.0,0.356,0.472,0,0,12531.63,36,8.92,Branch,Auto Refi,0
130,47,29524.35,4,664.0,0.217,0.358,1,0,5876.91,36,7.48,Branch,Auto Refi,0
131,55,85986.93,19,655.0,0.312,0.5,0,0,11248.8,60,7.38,Online,Debt Consolidation,0
132,21,61108.58,12,730.0,0.435,0.132,0,0,26803.77,36,5.0,Online,Personal Loan,0
133,55,39013.53,16,733.0,0.399,0.87,0,0,21747.2,60,5.24,Online,Debt Consolidation,0
134,57,57712.9,11,618.0,0.474,0.534,0,0,20764.65,60,14.91,Partner,Personal Loan,1
135,67,53339.77,16,636.0,0.151,0.541,1,1,2000.0,36,25.0,Online,Auto Refi,1
136,34,47645.23,0,629.0,0.197,0.237,0,0,15663.29,36,5.54,Branch,Auto Refi,0
137,23,81251.85,7,693.0,0.501,0.332,1,0,9971.56,36,9.48,Branch,Personal Loan,1
138,21,42873.5,15,743.0,0.503,0.552,0,0,21053.9,60,5.0,Online,Personal Loan,1
139,25,68692.92,14,694.0,0.318,0.38,1,0,10451.8,36,6.67,Online,Auto Refi,0
140,46,38173.64,18,527.0,0.317,0.504,0,0,9169.96,36,21.92,Online,Personal Loan,0
141,34,64262.08,24,733.0,0.461,0.294,0,0,9557.68,60,5.0,Online,Personal Loan,0
142,59,70308.45,9,586.0,0.384,0.182,1,0,6164.65,60,17.56,Online,Debt Consolidation,0
143,47,70346.77,1,630.0,0.393,0.672,0,0,20834.52,36,13.35,Partner,Auto Refi,0
144,29,66616.12,24,694.0,0.209,0.271,1,0,14137.27,60,5.0,Branch,Personal Loan,0
145,35,60219.7,24,674.0,0.458,0.632,0,1,14102.29,36,23.71,Branch,Personal Loan,0
146,35,43718.12,3,741.0,0.296,0.282,0,0,8539.79,36,5.0,Partner,Personal Loan,0
147,46,43948.96,3,637.0,0.153,0.418,0,0,19629.47,36,5.7,Branch,Personal Loan,0
148,62,70976.58,19,612.0,0.226,0.373,0,0,7031.71,36,8.73,Partner,Personal Loan,1
149,33,39771.82,11,658.0,0.248,0.408,1,0,13565.74,36,9.06,Online,Auto Refi,1
150,52,35185.85,16,748.0,0.497,0.602,0,0,26398.78,60,5.0,Partner,Debt Consolidation,1
151,59,93595.4,20,724.0,0.236,0.776,0,1,22743.08,36,14.83,Online,Personal Loan,0
152,69,59805.66,21,686.0,0.366,0.412,0,0,32077.48,36,5.0,Online,Personal Loan,0
153,52,77700.29,3,773.0,0.067,0.474,1,0,17201.5,36,5.0,Online,Auto Refi,0
154,24,82469.76,7,760.0,0.432,0.396,0,0,14378.87,36,5.0,Branch,Personal Loan,0
155,50,66022.54,15,735.0,0.225,0.467,0,0,21135.79,36,5.0,Online,Debt Consolidation,0
156,57,57464.47,14,598.0,0.367,0.306,0,0,9104.54,36,12.33,Online,Debt Consolidation,0
157,43,57804.3,13,735.0,0.367,0.243,0,0,29175.75,36,5.0,Online,Debt Consolidation,0
158,59,97160.61,18,666.0,0.396,0.515,0,0,26341.68,36,7.94,Online,Debt Consolidation,0
159,65,53823.84,10,652.0,0.36,0.495,2,0,13820.94,36,17.76,Online,Debt Consolidation,0
160,35,68528.64,24,632.0,0.55,0.677,1,0,6278.38,60,21.48,Online,Auto Refi,1
161,63,78546.38,12,668.0,0.345,0.46,0,0,28865.77,36,6.42,Branch,Personal Loan,1
162,49,70014.2,22,636.0,0.59,0.441,0,0,14470.96,36,14.13,Online,Personal Loan,1
163,56,86687.67,7,692.0,0.397,0.554,0,0,4916.87,36,5.99,Online,Personal Loan,0
164,33,57267.68,22,668.0,0.353,0.647,0,0,19032.16,36,8.25,Branch,Personal Loan,0
165,52,78467.0,8,695.0,0.427,0.418,0,0,22316.48,36,5.08,Partner,Personal Loan,0
166,27,29107.83,1,719.0,0.344,0.0,1,0,29450.75,36,5.0,Branch,Debt Consolidation,0
167,42,91938.31,19,659.0,0.374,0.24,0,0,22256.5,36,5.74,Online,Personal Loan,0
168,48,87463.0,1,628.0,0.362,0.664,0,0,23847.24,36,12.78,Online,Debt Consolidation,1
169,22,58911.48,7,540.0,0.35,0.791,0,0,15080.61,60,24.31,Online,Debt Consolidation,0
170,62,73776.77,17,734.0,0.574,0.717,0,0,2000.0,36,6.56,Online,Personal Loan,0
171,65,82821.3,23,686.0,0.593,0.362,0,0,10222.82,36,8.05,Partner,Debt Consolidation,0
172,26,44244.94,21,668.0,0.359,0.384,0,0,23937.67,36,6.03,Branch,Auto Refi,0
173,48,62109.48,6,762.0,0.471,0.598,0,0,14002.89,36,5.0,Online,Auto Refi,0
174,48,38885.0,10,590.0,0.464,0.57,1,0,18788.33,60,23.27,Online,Auto Refi,1
175,64,87768.33,21,684.0,0.451,0.0,0,0,11322.9,36,5.0,Online,Personal Loan,0
176,64,81455.21,24,613.0,0.385,0.459,0,0,2000.0,60,12.75,Online,Auto Refi,1
177,40,59381.02,19,726.0,0.4,0.439,0,0,2567.07,36,5.0,Online,Debt Consolidation,0
178,50,57061.73,0,524.0,0.389,0.22,0,0,26213.99,36,20.44,Branch,Personal Loan,1
179,31,62020.87,24,736.0,0.234,0.331,0,0,13012.21,60,5.0,Online,Auto Refi,0
180,48,47054.85,15,733.0,0.312,0.503,0,0,6765.72,36,5.0,Online,Auto Refi,0
181,45,61519.25,15,615.0,0.176,0.406,0,0,10593.62,36,7.88,Online,Personal Loan,1
182,59,44245.38,9,685.0,0.389,0.636,0,1,16272.9,36,21.18,Online,Personal Loan,1
183,53,82966.62,23,617.0,0.372,0.802,0,0,15457.36,36,15.97,Branch,Debt Consolidation,0
184,21,87738.71,16,710.0,0.404,0.639,0,0,21552.47,36,5.34,Online,Personal Loan,1
185,47,83903.86,9,737.0,0.227,0.539,0,1,28827.75,60,10.44,Branch,Personal Loan,0
186,33,41116.0,5,610.0,0.436,0.42,0,0,19318.2,36,13.7,Branch,Debt Consolidation,1
187,61,60830.98,13,589.0,0.377,0.609,0,0,6467.09,60,17.08,Partner,Auto Refi,0
188,23,76694.58,14,757.0,0.588,0.325,0,0,7347.99,60,5.0,Online,Personal Loan,0
189,59,80375.16,3,816.0,0.417,0.341,1,0,19255.88,36,5.0,Online,Personal Loan,1
190,26,28222.7,1,715.0,0.248,0.204,0,0,11915.7,60,5.0,Branch,Auto Refi,0
191,28,79809.79,18,720.0,0.158,0.14,1,0,12088.95,36,5.0,Branch,Personal Loan,0
192,47,40134.64,12,657.0,0.346,0.706,0,0,15663.27,60,9.83,Online,Personal Loan,0
193,29,61920.71,11,693.0,0.196,0.504,1,0,10465.33,60,5.93,Online,Auto Refi,0
194,57,90149.75,24,705.0,0.232,0.556,0,0,13086.06,36,5.0,Branch,Personal Loan,0
195,53,87441.41,20,667.0,0.204,0.425,1,0,17245.73,60,7.57,Online,Auto Refi,1
196,62,91522.6,22,774.0,0.25,0.828,1,0,7931.99,60,5.0,Branch,Debt Consolidation,1
197,64,43674.59,12,692.0,0.495,0.802,0,0,19482.21,60,9.95,Online,Personal Loan,0
198,44,48614.19,14,701.0,0.204,0.447,0,0,17642.73,36,5.0,Branch,Debt Consolidation,0
199,35,53743.98,1,669.0,0.269,0.444,0,0,19163.31,60,5.11,Branch,Personal Loan,0
200,52,62071.19,7,676.0,0.148,0.406,1,0,25086.4,36,5.79,Branch,Auto Refi,0
201,52,69334.02,2,765.0,0.115,0.227,1,0,15431.12,36,5.0,Online,Personal Loan,0
202,44,90545.1,0,690.0,0.286,0.368,0,0,15868.36,60,5.0,Online,Personal Loan,0
203,61,46427.76,23,692.0,0.345,0.387,0,0,10998.81,36,5.0,Partner,Auto Refi,0
204,69,52422.94,10,693.0,0.182,0.007,1,0,15368.32,60,5.0,Online,Debt Consolidation,0
205,69,93472.82,8,654.0,0.138,0.0,0,1,6466.58,60,11.82,Online,Personal Loan,1
206,32,41819.04,23,581.0,0.095,0.437,1,0,10087.82,36,14.77,Branch,Personal Loan,1
207,59,79537.05,16,790.0,0.337,0.616,0,0,12582.71,60,5.0,Online,Auto Refi,1
208,22,63227.04,6,755.0,0.432,0.296,1,0,6352.68,36,5.0,Online,Personal Loan,0
209,23,72761.47,22,767.0,0.149,0.8,0,0,2000.0,36,5.0,Online,Personal Loan,0
210,69,48772.58,3,605.0,0.242,0.394,0,0,17300.28,60,9.99,Online,Personal Loan,1
211,57,79143.53,12,781.0,0.45,0.281,0,1,21620.17,36,7.58,Online,Auto Refi,1
212,69,51915.83,23,818.0,0.294,0.165,1,0,7449.84,36,5.0,Online,Personal Loan,0
213,37,36608.02,4,753.0,0.308,0.47,0,0,15910.42,36,5.0,Online,Personal Loan,0
214,69,74600.78,11,795.0,0.366,0.048,1,0,2000.0,60,5.0,Online,Debt Consolidation,0
215,22,20000.0,19,736.0,0.267,0.3,1,0,12522.65,36,5.0,Branch,Personal Loan,0
216,22,53639.96,4,621.0,0.227,0.459,0,0,23301.76,36,8.76,Online,Personal Loan,0
217,48,70822.76,10,716.0,0.357,0.171,2,0,9342.93,36,7.21,Online,Auto Refi,0
218,43,80155.6,1,609.0,0.154,0.345,0,0,2000.0,36,7.57,Online,Personal Loan,0
219,57,89530.38,3,638.0,0.127,0.455,0,0,24179.47,60,5.53,Online,Auto Refi,0
220,52,100550.9,9,702.0,0.237,0.206,0,0,6480.53,36,5.0,Online,Auto Refi,0
221,53,94434.96,23,693.0,0.405,0.58,0,0,9606.13,60,6.27,Online,Personal Loan,0
222,21,68830.96,6,712.0,0.459,0.638,0,0,21481.15,36,5.95,Online,Personal Loan,0
223,39,87512.36,11,555.0,0.263,0.248,0,0,17586.2,36,14.42,Partner,Auto Refi,0
224,22,68522.26,7,669.0,0.42,0.41,0,0,8871.01,60,7.07,Online,Personal Loan,0
225,64,78718.11,22,718.0,0.486,0.425,0,1,17654.32,36,16.77,Online,Debt Consolidation,1
226,46,53013.07,22,732.0,0.325,0.519,0,0,5382.84,60,5.0,Online,Debt Consolidation,0
227,52,74241.52,22,737.0,0.396,0.39,0,0,2660.03,36,5.0,Online,Auto Refi,0
228,26,55535.08,15,698.0,0.544,0.306,0,0,20109.41,36,5.71,Online,Auto Refi,1
229,52,61529.12,1,653.0,0.235,0.239,0,0,15268.95,36,5.0,Online,Personal Loan,0
230,24,74304.58,2,715.0,0.291,0.617,0,0,29525.98,60,5.0,Online,Debt Consolidation,0
231,31,106827.58,16,659.0,0.512,0.334,0,0,20609.03,60,8.91,Online,Debt Consolidation,1
232,37,72895.41,14,743.0,0.207,0.295,0,0,2825.05,36,5.0,Online,Auto Refi,0
233,58,64765.84,17,710.0,0.339,0.659,0,0,27759.2,60,5.0,Online,Debt Consolidation,0
234,44,48364.48,9,676.0,0.245,0.479,0,0,13466.99,60,5.0,Online,Personal Loan,0
235,25,82924.03,21,626.0,0.484,0.246,1,0,12838.01,36,15.64,Partner,Debt Consolidation,0
236,54,58290.8,1,758.0,0.178,0.411,0,0,7387.11,36,5.0,Branch,Personal Loan,0
237,26,72483.05,16,719.0,0.312,0.256,0,0,24646.54,60,5.0,Online,Personal Loan,0
238,42,79038.85,15,827.0,0.194,0.214,0,0,5792.92,60,5.0,Online,Personal Loan,0
239,31,90282.18,23,717.0,0.144,0.341,0,0,10126.97,36,5.0,Branch,Auto Refi,0
240,68,81847.45,24,723.0,0.092,0.409,0,0,13295.27,60,5.0,Online,Auto Refi,0
241,36,40530.84,6,577.0,0.3,0.327,0,0,18548.39,60,13.47,Online,Debt Consolidation,1
242,53,30656.03,18,702.0,0.378,0.558,2,0,13315.87,60,13.06,Online,Personal Loan,1
243,29,79029.43,15,658.0,0.322,0.58,1,0,11552.81,60,12.4,Partner,Personal Loan,1
244,26,66720.09,0,738.0,0.348,0.308,0,0,26145.32,36,5.0,Branch,Auto Refi,0
245,36,72829.39,3,703.0,0.268,0.415,1,0,8962.98,36,5.4,Online,Auto Refi,0
246,49,99395.15,12,749.0,0.438,0.356,0,1,32328.73,36,11.39,Partner,Personal Loan,1
247,23,52668.24,9,829.0,0.407,0.252,0,0,9103.77,36,5.0,Online,Personal Loan,1
248,40,90828.18,10,624.0,0.335,0.481,0,0,23235.6,60,10.69,Online,Debt Consolidation,0
249,56,52866.74,18,746.0,0.345,0.074,0,0,20072.68,36,5.0,Branch,Personal Loan,0
250,39,96305.37,14,728.0,0.264,0.258,0,0,26404.39,60,5.0,Branch,Personal Loan,0
251,46,80010.37,10,819.0,0.553,0.217,0,0,14412.48,60,5.0,Online,Debt Consolidation,0
252,23,34857.44,2,729.0,0.417,0.269,1,0,22272.76,36,5.0,Online,Personal Loan,0
253,39,56654.43,1,722.0,0.308,0.233,0,0,8079.98,60,5.0,Branch,Auto Refi,0
254,40,103313.36,10,740.0,0.299,0.127,1,0,14519.2,60,5.0,Partner,Debt Consolidation,0
255,52,100803.84,9,744.0,0.273,0.392,0,0,14468.56,60,5.0,Online,Personal Loan,0
256,27,77084.43,2,782.0,0.284,0.376,0,0,10474.68,60,5.0,Online,Auto Refi,0
257,61,72084.69,4,623.0,0.35,0.448,0,0,7052.61,36,10.77,Branch,Auto Refi,0
258,53,69794.69,14,653.0,0.115,0.497,0,0,15785.54,36,5.0,Branch,Debt Consolidation,0
259,60,73740.55,3,801.0,0.29,0.531,0,0,25661.61,60,5.0,Branch,Personal Loan,0
260,59,62183.99,16,543.0,0.304,0.289,0,0,22808.81,36,17.21,Partner,Debt Consolidation,0
261,38,89220.39,0,674.0,0.319,0.462,1,0,9865.42,36,9.32,Partner,Auto Refi,1
262,60,76557.0,0,690.0,0.341,0.398,0,0,13462.58,60,5.0,Online,Auto Refi,0
263,21,45692.89,11,668.0,0.324,0.428,0,0,10107.09,36,5.86,Online,Personal Loan,1
264,31,78099.84,9,791.0,0.369,0.359,0,0,14028.97,60,5.0,Online,Auto Refi,0
265,48,68299.68,8,713.0,0.304,0.29,0,0,9814.15,60,5.0,Online,Personal Loan,0
266,45,58750.76,8,653.0,0.439,0.401,1,0,14922.59,60,13.35,Partner,Personal Loan,0
267,43,102970.54,24,636.0,0.399,0.355,1,0,6270.36,36,13.98,Branch,Personal Loan,1
268,51,67075.41,19,700.0,0.59,0.51,1,0,17849.66,60,12.41,Branch,Auto Refi,0
269,50,25863.21,19,762.0,0.404,0.639,0,0,24061.84,60,5.0,Online,Personal Loan,0
270,62,60173.24,13,690.0,0.231,0.262,1,0,18069.41,36,5.0,Online,Debt Consolidation,1
271,55,84869.77,22,671.0,0.301,0.343,0,0,13520.43,36,5.0,Partner,Debt Consolidation,0
