age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,loan_amount,term_months,interest_rate,channel,product_type,default_12m,pd_model,applicant_id,recent_bankruptcy,approved_A,approved_B,strategy_group,approved_AB,expected_loss,interest_income,profit
67,53460.48,19,545.0,0.14,0.543,0,13199.82,36,16.34,Partner,Debt Consolidation,1,0.4606057238242177,10528,0,0,0,B,0,7919.892,1583.9784,0.0
42,86781.63,20,752.0,0.293,0.683,0,18286.71,60,5.0,Partner,Personal Loan,1,0.097915187974416,14466,0,1,1,B,1,10972.026,2194.4051999999997,-8777.6208
57,60878.48,5,816.0,0.242,0.408,0,24367.19,60,5.0,Online,Debt Consolidation,0,0.0749221186708722,11182,0,1,1,B,1,0.0,2924.0627999999997,2924.0627999999997
47,75524.97,13,704.0,0.372,0.075,0,11807.82,60,5.0,Online,Personal Loan,0,0.1326103696753933,13775,0,1,1,B,1,0.0,1416.9384,1416.9384
45,85267.83,12,811.0,0.05,0.823,0,24345.73,36,5.0,Branch,Personal Loan,1,0.1089938101249052,5479,1,0,1,B,1,14607.438,2921.4876,-11685.9504
23,67702.43,1,706.0,0.247,0.551,1,24759.45,60,6.0,Online,Auto Refi,0,0.1874574120665517,7928,0,1,0,B,0,0.0,2971.134,0.0
21,95538.68,16,767.0,0.263,0.283,0,12009.98,36,5.84,Branch,Personal Loan,0,0.119237005950036,8080,1,0,1,B,1,0.0,1441.1976,1441.1976
40,60013.11,15,700.0,0.163,0.535,0,29418.44,36,5.0,Online,Personal Loan,0,0.158244375070693,14954,0,1,1,A,1,0.0,3530.2128,3530.2128
36,74276.8,15,811.0,0.06,0.063,1,13683.67,60,5.0,Online,Personal Loan,0,0.0633029527276156,19034,0,1,1,A,1,0.0,1642.0403999999999,1642.0403999999999
48,75321.92,17,712.0,0.262,0.531,0,32872.84,36,5.0,Online,Auto Refi,1,0.1449423135779029,9278,0,1,1,B,1,19723.703999999998,3944.7407999999996,-15778.963199999998
33,54265.65,16,642.0,0.56,0.154,0,11530.47,36,9.7,Online,Personal Loan,1,0.3699755300807092,14856,0,0,0,B,0,6918.281999999999,1383.6563999999998,0.0
45,86242.3,16,603.0,0.184,0.061,1,19592.09,36,9.97,Branch,Debt Consolidation,0,0.2929150795635042,14901,0,0,0,B,0,0.0,2351.0508,0.0
21,94868.97,6,662.0,0.305,0.49,0,17352.25,60,6.57,Online,Auto Refi,0,0.2255190018860293,7710,0,1,0,A,1,0.0,2082.27,2082.27
30,74230.0,2,699.0,0.421,0.22,0,6213.82,60,5.0,Partner,Auto Refi,0,0.1730143605794548,8372,0,0,1,B,1,0.0,745.6583999999999,745.6583999999999
32,31476.57,2,666.0,0.293,0.597,0,5400.79,36,6.98,Online,Personal Loan,1,0.2186488026025674,13633,0,1,0,A,1,3240.4739999999997,648.0948,-2592.3792
41,61993.42,8,695.0,0.34,0.843,0,16271.09,60,7.3,Online,Personal Loan,0,0.2513696077397649,8557,0,1,0,A,1,0.0,1952.5308,1952.5308
56,76786.33,20,753.0,0.247,0.486,0,19322.2,60,5.0,Online,Personal Loan,0,0.0955102711815024,10418,0,1,1,A,1,0.0,2318.664,2318.664
45,84686.57,14,607.0,0.431,0.438,0,23399.26,60,25.0,Online,Debt Consolidation,0,0.7867094077455429,5674,1,0,0,A,0,0.0,2807.9111999999996,0.0
60,70063.8,5,656.0,0.368,0.638,1,14453.24,60,14.28,Branch,Auto Refi,1,0.4089502213206833,14513,0,1,0,A,1,8671.944,1734.3888,-6937.5552
39,116422.11,8,806.0,0.254,0.487,0,19791.78,60,5.0,Online,Personal Loan,0,0.0379145471664848,13525,0,1,1,B,1,0.0,2375.0135999999998,2375.0135999999998
61,90727.96,20,691.0,0.261,0.289,0,13580.58,36,5.0,Branch,Personal Loan,0,0.1587150110757643,962,0,1,1,B,1,0.0,1629.6696,1629.6696
45,75338.3,7,658.0,0.328,0.355,1,24637.34,36,10.06,Branch,Personal Loan,0,0.3209564923541589,4802,0,1,0,B,0,0.0,2956.4808,0.0
51,83416.29,6,665.0,0.386,0.639,0,16483.99,36,9.04,Branch,Personal Loan,1,0.3422923296960934,19182,0,1,0,B,0,9890.394,1978.0788000000002,0.0
48,52277.43,22,611.0,0.224,0.163,0,12751.53,36,6.85,Online,Personal Loan,0,0.2209021794096762,15927,0,0,0,B,0,0.0,1530.1836,0.0
27,78976.54,20,603.0,0.465,0.246,0,11281.2,60,13.08,Branch,Personal Loan,0,0.3897201788525745,4721,0,0,0,A,0,0.0,1353.7440000000001,0.0
29,80008.49,12,629.0,0.344,0.48,0,21440.96,36,24.62,Branch,Personal Loan,0,0.630106771880381,4522,1,0,0,B,0,0.0,2572.9152,0.0
53,100821.8,11,719.0,0.24,0.396,0,22448.46,60,11.1,Online,Personal Loan,1,0.3349100744758788,11570,1,0,0,B,0,13469.076,2693.8152,0.0
64,65155.26,21,773.0,0.433,0.555,0,19285.72,60,5.0,Online,Personal Loan,0,0.0874637423719994,1487,0,0,1,A,0,0.0,2314.2864,0.0
25,43203.6,9,647.0,0.05,0.578,0,5269.02,36,5.0,Branch,Debt Consolidation,0,0.1361470917615614,15373,0,1,1,B,1,0.0,632.2824,632.2824
24,58241.27,12,739.0,0.237,0.285,0,11480.49,60,5.0,Partner,Auto Refi,0,0.0836361105152339,16540,0,1,1,A,1,0.0,1377.6588,1377.6588
39,81035.83,16,688.0,0.413,0.368,0,22184.02,36,5.06,Online,Debt Consolidation,1,0.1695623929828733,10296,0,0,1,B,1,13310.412,2662.0824,-10648.329600000001
62,81073.6,20,640.0,0.568,0.32,0,7475.1,36,11.85,Partner,Debt Consolidation,0,0.4453704938881391,15405,0,0,0,A,0,0.0,897.0120000000001,0.0
38,39161.8,4,657.0,0.327,0.457,0,13641.68,36,7.02,Online,Auto Refi,0,0.2346719920814459,1914,0,1,0,B,0,0.0,1637.0016,0.0
23,80579.47,11,727.0,0.294,0.065,0,19021.01,36,5.0,Branch,Auto Refi,0,0.0849441844038318,7803,0,1,1,B,1,0.0,2282.5211999999997,2282.5211999999997
52,31017.77,6,665.0,0.216,0.409,0,18015.98,60,5.0,Partner,Debt Consolidation,0,0.1702466042359082,8197,0,1,1,A,1,0.0,2161.9175999999998,2161.9175999999998
31,71281.82,9,695.0,0.602,0.461,1,5284.23,36,12.66,Branch,Personal Loan,0,0.4145502688234497,9043,0,0,0,A,0,0.0,634.1075999999999,0.0
64,22638.76,5,646.0,0.292,0.331,0,23304.92,36,6.35,Online,Personal Loan,0,0.2069743056435302,16688,0,1,0,A,1,0.0,2796.5903999999996,2796.5903999999996
56,37643.14,13,696.0,0.181,0.684,0,5529.84,36,5.0,Online,Auto Refi,0,0.1515167505893506,19495,0,1,1,A,1,0.0,663.5808,663.5808
27,35234.39,19,734.0,0.247,0.626,0,11842.8,60,5.0,Branch,Personal Loan,0,0.1007249328382488,19632,0,1,1,A,1,0.0,1421.136,1421.136
31,57233.55,10,649.0,0.436,0.535,0,23501.02,36,10.52,Online,Personal Loan,0,0.3232042073978203,18781,0,0,0,A,0,0.0,2820.1223999999997,0.0
35,70546.73,6,722.0,0.411,0.536,1,10768.73,60,7.1,Partner,Auto Refi,0,0.2492768044397852,8180,0,0,0,A,0,0.0,1292.2476,0.0
68,67446.82,17,533.0,0.355,0.284,1,11343.19,36,24.14,Online,Auto Refi,1,0.5825317564394782,14153,0,0,0,A,0,6805.914,1361.1828,0.0
48,88636.33,5,708.0,0.449,0.181,1,6378.77,36,5.83,Branch,Personal Loan,0,0.1907449123660093,4456,0,0,0,B,0,0.0,765.4524,0.0
33,63256.51,20,502.0,0.233,0.472,0,9846.34,60,22.57,Online,Debt Consolidation,1,0.6085120785105631,12646,0,0,0,B,0,5907.804,1181.5608,0.0
29,96986.9,3,608.0,0.482,0.749,1,11688.21,60,23.61,Online,Personal Loan,1,0.6800579775411232,8465,0,0,0,A,0,7012.9259999999995,1402.5851999999998,0.0
67,62663.7,7,635.0,0.394,0.414,0,15559.2,36,9.99,Online,Personal Loan,0,0.3062572636153683,1852,0,0,0,B,0,0.0,1867.104,0.0
48,49939.18,20,744.0,0.439,0.236,1,14421.46,36,5.0,Branch,Auto Refi,0,0.1285892742735392,7885,0,0,1,B,1,0.0,1730.5751999999998,1730.5751999999998
58,46113.86,8,812.0,0.454,0.38,0,19211.59,60,5.0,Partner,Auto Refi,0,0.0636865528371755,16908,0,0,1,B,1,0.0,2305.3908,2305.3908
34,62339.73,10,566.0,0.156,0.347,0,15356.53,36,11.93,Online,Auto Refi,0,0.3924625366892277,1806,0,0,0,B,0,0.0,1842.7836,0.0
36,84948.88,21,652.0,0.204,0.636,0,22493.09,60,7.1,Branch,Personal Loan,0,0.2316006387799677,9257,0,1,0,A,1,0.0,2699.1708,2699.1708
42,24369.08,2,804.0,0.397,0.204,0,14442.42,60,5.0,Partner,Personal Loan,0,0.0670875245063988,12436,1,0,1,B,1,0.0,1733.0904,1733.0904
35,61411.7,21,689.0,0.382,0.577,0,7027.94,36,6.21,Online,Personal Loan,0,0.2237941330007656,15784,0,1,0,A,1,0.0,843.3527999999999,843.3527999999999
24,59411.83,20,816.0,0.379,0.404,0,9902.26,36,5.0,Online,Auto Refi,0,0.0785651506143304,16401,0,1,1,B,1,0.0,1188.2712,1188.2712
24,61603.33,14,656.0,0.372,0.498,0,13250.56,36,8.3,Online,Personal Loan,1,0.2665953599792359,19152,0,1,0,B,0,7950.335999999999,1590.0672,0.0
58,107895.59,10,656.0,0.511,0.394,0,15289.47,36,24.14,Online,Debt Consolidation,0,0.6264188846545365,9779,1,0,0,B,0,0.0,1834.7363999999998,0.0
69,87068.72,5,802.0,0.493,0.344,0,15028.17,60,5.0,Partner,Personal Loan,0,0.0779628572357935,17035,0,0,1,A,0,0.0,1803.3804,0.0
35,93316.68,4,731.0,0.32,0.776,0,2000.0,36,15.81,Branch,Personal Loan,1,0.3673362798468418,16912,1,0,0,B,0,1200.0,240.0,0.0
48,69363.15,3,805.0,0.29,0.373,1,14040.97,60,5.0,Online,Auto Refi,1,0.0849151095562818,4261,0,1,1,A,1,8424.581999999999,1684.9163999999998,-6739.665599999998
53,51328.69,1,680.0,0.169,0.151,0,9137.3,60,5.0,Online,Auto Refi,0,0.1528731882249556,7880,0,1,1,B,1,0.0,1096.4759999999999,1096.4759999999999
40,66496.93,1,752.0,0.129,0.04,0,26244.14,36,5.0,Online,Debt Consolidation,0,0.0595338756622613,16579,0,1,1,A,1,0.0,3149.2967999999996,3149.2967999999996
36,66683.47,17,685.0,0.515,0.869,0,14015.57,36,11.91,Partner,Personal Loan,1,0.3423057125694389,2640,0,0,0,B,0,8409.341999999999,1681.8683999999998,0.0
47,88641.97,7,630.0,0.128,0.42,2,10643.27,36,14.5,Online,Auto Refi,0,0.421161671735196,9027,0,0,0,A,0,0.0,1277.1924,0.0
53,64168.13,21,672.0,0.441,0.501,0,9268.2,36,8.0,Branch,Personal Loan,0,0.2782790535355539,17473,0,0,0,A,0,0.0,1112.184,0.0
45,74368.8,21,676.0,0.423,0.306,0,20886.96,36,5.65,Branch,Debt Consolidation,0,0.1940678520382073,16376,0,0,0,B,0,0.0,2506.4352,0.0
25,38888.45,4,548.0,0.524,0.474,0,18747.99,36,23.39,Online,Auto Refi,0,0.7053248301332875,16670,0,0,0,A,0,0.0,2249.7588,0.0
55,68589.26,6,522.0,0.408,0.692,0,20176.55,60,25.0,Branch,Personal Loan,1,0.8153438881498454,6938,0,0,0,B,0,12105.929999999998,2421.1859999999997,0.0
43,92108.57,16,702.0,0.21,0.416,0,3213.4,36,5.0,Online,Auto Refi,0,0.1518952983044413,16673,0,1,1,B,1,0.0,385.608,385.608
42,84273.22,15,762.0,0.148,0.312,0,16395.75,60,5.0,Online,Auto Refi,0,0.0700567954027713,17044,0,1,1,B,1,0.0,1967.49,1967.49
28,66420.32,19,634.0,0.551,0.259,0,13183.84,60,11.48,Partner,Personal Loan,0,0.4414869867428329,13598,0,0,0,B,0,0.0,1582.0608,0.0
55,92831.83,13,577.0,0.297,0.595,1,6826.64,36,21.52,Online,Personal Loan,1,0.6116281538750898,8314,0,0,0,B,0,4095.984,819.1968,0.0
38,39488.04,19,555.0,0.271,0.414,1,18769.85,60,21.45,Online,Auto Refi,0,0.605123279647302,4632,0,0,0,B,0,0.0,2252.3819999999996,0.0
48,65527.62,14,715.0,0.271,0.416,0,17692.57,60,5.0,Online,Auto Refi,0,0.1380983739632929,10041,0,1,1,B,1,0.0,2123.1084,2123.1084
55,62802.52,24,634.0,0.201,0.206,1,21575.85,60,8.63,Partner,Personal Loan,1,0.3330839798461211,14991,0,0,0,B,0,12945.509999999998,2589.102,0.0
44,69277.97,2,726.0,0.214,0.277,0,12321.71,36,5.0,Online,Auto Refi,0,0.1127679057417569,13315,0,1,1,B,1,0.0,1478.6051999999997,1478.6051999999997
54,50898.08,4,770.0,0.338,0.263,0,21655.68,60,5.0,Online,Auto Refi,0,0.0670681347438873,7666,0,1,1,B,1,0.0,2598.6816,2598.6816
60,62203.92,5,607.0,0.576,0.753,0,14648.23,60,21.04,Online,Personal Loan,1,0.5988775291358945,1942,0,0,0,B,0,8788.938,1757.7875999999999,0.0
54,51461.33,18,567.0,0.462,0.488,0,13400.83,36,20.19,Partner,Personal Loan,1,0.6025137412272408,17330,0,0,0,A,0,8040.498,1608.0996,0.0
22,71201.46,24,484.0,0.392,0.754,1,27910.86,36,25.0,Online,Personal Loan,1,0.7679270796871641,15100,0,0,0,A,0,16746.516,3349.3032,0.0
64,71787.09,6,701.0,0.298,0.566,0,18137.38,36,5.0,Online,Auto Refi,0,0.1512790891475837,10759,0,1,1,B,1,0.0,2176.4856,2176.4856
35,20424.27,17,660.0,0.443,0.401,0,17591.53,60,8.22,Online,Auto Refi,1,0.2653295856025703,12564,0,0,0,B,0,10554.918,2110.9835999999996,0.0
26,78221.38,0,584.0,0.488,0.4,0,30177.01,60,17.62,Online,Auto Refi,0,0.5895535919126804,8300,0,0,0,B,0,0.0,3621.2411999999995,0.0
69,64725.61,5,733.0,0.3,0.586,0,17468.07,36,5.0,Partner,Personal Loan,0,0.1070452037763799,11020,0,1,1,B,1,0.0,2096.1684,2096.1684
40,48155.36,13,658.0,0.239,0.664,0,22837.65,60,7.39,Online,Personal Loan,0,0.2140746910847811,13025,0,1,0,B,0,0.0,2740.518,0.0
52,37964.05,9,686.0,0.407,0.452,0,18159.64,36,5.83,Branch,Personal Loan,0,0.2269852858736395,5213,0,0,0,B,0,0.0,2179.1567999999997,0.0
41,33828.75,12,703.0,0.329,0.349,0,7636.71,36,5.0,Branch,Debt Consolidation,0,0.1499695483108939,16163,0,1,1,B,1,0.0,916.4051999999999,916.4051999999999
39,75805.52,10,695.0,0.099,0.961,1,12831.48,36,8.16,Online,Personal Loan,0,0.4379636861284277,16748,0,1,0,B,0,0.0,1539.7776,0.0
40,71378.15,4,647.0,0.412,0.548,0,13032.31,60,10.52,Online,Personal Loan,0,0.3246997681219289,8635,0,0,0,A,0,0.0,1563.8772,0.0
59,69721.06,21,688.0,0.508,0.047,0,16240.27,60,5.0,Online,Auto Refi,0,0.18968041288269,16278,0,0,0,B,0,0.0,1948.8324,0.0
35,62116.73,22,657.0,0.262,0.774,0,17700.59,60,8.88,Branch,Personal Loan,0,0.3171177901695918,1870,0,1,0,A,1,0.0,2124.0708,2124.0708
65,86380.55,12,745.0,0.444,0.606,1,17709.98,36,6.2,Online,Auto Refi,0,0.1815628503611987,9036,0,0,0,B,0,0.0,2125.1976,0.0
63,41049.64,5,607.0,0.305,0.625,1,9581.36,60,18.53,Online,Personal Loan,1,0.5421214362657429,4089,0,0,0,B,0,5748.816,1149.7632,0.0
58,46194.75,0,666.0,0.158,0.662,0,12353.15,60,5.43,Branch,Auto Refi,0,0.1688128676770116,15966,0,1,1,A,1,0.0,1482.378,1482.378
24,48608.39,14,682.0,0.388,0.544,0,15539.87,60,6.61,Branch,Auto Refi,0,0.2313109597353893,11352,0,1,0,B,0,0.0,1864.7844,0.0
47,46353.15,16,659.0,0.316,0.562,0,9958.28,36,7.63,Branch,Auto Refi,0,0.2464641865584911,6192,0,1,0,A,1,0.0,1194.9936,1194.9936
29,48765.93,4,708.0,0.432,0.428,0,15781.65,60,5.0,Online,Personal Loan,1,0.1265723859491949,11269,0,0,1,B,1,9468.99,1893.7979999999998,-7575.192
33,73789.41,7,759.0,0.075,0.219,0,15771.39,60,5.0,Online,Personal Loan,0,0.0766276610030586,12143,0,1,1,B,1,0.0,1892.5667999999998,1892.5667999999998
67,57707.83,5,653.0,0.28,0.552,0,8567.41,36,7.55,Partner,Personal Loan,0,0.2417096235088424,6109,0,1,0,A,1,0.0,1028.0892,1028.0892
46,76423.54,9,697.0,0.178,0.55,0,15516.59,36,5.0,Online,Auto Refi,0,0.1533519866377563,17446,0,1,1,B,1,0.0,1861.9908,1861.9908
55,84578.09,18,601.0,0.209,0.56,0,12505.94,36,11.54,Online,Debt Consolidation,0,0.3939962259008684,3351,0,0,0,A,0,0.0,1500.7128,0.0
61,48785.16,3,690.0,0.396,0.589,0,17921.15,36,6.4,Online,Debt Consolidation,0,0.2784166665226016,3963,0,1,0,B,0,0.0,2150.538,0.0
22,63419.03,1,668.0,0.373,0.362,0,3519.1,36,6.03,Branch,Personal Loan,0,0.2027546884451735,7580,0,1,0,A,1,0.0,422.292,422.292
41,62972.47,15,782.0,0.452,0.98,0,16197.79,36,5.0,Online,Debt Consolidation,0,0.0872986624107964,3240,0,0,1,A,0,0.0,1943.7348,0.0
40,78210.72,1,743.0,0.229,0.563,0,13791.0,36,5.0,Online,Debt Consolidation,0,0.0879762080965321,14607,0,1,1,B,1,0.0,1654.9199999999998,1654.9199999999998
33,70627.0,21,691.0,0.205,0.841,0,7379.33,36,5.52,Online,Personal Loan,0,0.2080015728522086,5034,0,1,0,B,0,0.0,885.5196,0.0
39,59236.09,8,731.0,0.431,0.806,2,11211.31,36,13.69,Online,Personal Loan,1,0.3826439117876806,5629,0,0,0,A,0,6726.785999999999,1345.3572,0.0
40,53354.85,20,766.0,0.355,0.438,1,9558.42,36,5.0,Branch,Personal Loan,0,0.1076064666048905,322,0,1,1,B,1,0.0,1147.0104,1147.0104
31,31825.35,15,648.0,0.276,0.141,0,3370.16,36,5.0,Online,Personal Loan,1,0.1409078680826126,16412,0,1,1,B,1,2022.0959999999998,404.4192,-1617.6767999999997
62,104100.15,0,663.0,0.479,0.401,1,19261.79,36,13.09,Online,Auto Refi,0,0.4010509384032857,7415,0,0,0,B,0,0.0,2311.4148,0.0
29,80044.83,15,651.0,0.316,0.787,1,23976.44,36,15.52,Online,Debt Consolidation,1,0.5377087044911973,9232,0,1,0,A,1,14385.864,2877.1728,-11508.6912
33,90950.89,17,557.0,0.265,0.324,0,14108.41,36,15.09,Online,Auto Refi,1,0.492169668536888,11510,0,0,0,A,0,8465.046,1693.0092,0.0
46,87311.46,15,645.0,0.33,0.502,0,25084.52,36,8.61,Online,Personal Loan,0,0.3055836155293345,10228,0,1,0,A,1,0.0,3010.1423999999997,3010.1423999999997
45,54473.81,6,761.0,0.171,0.333,0,19146.35,36,5.0,Online,Auto Refi,0,0.0758327006115097,6984,0,1,1,A,1,0.0,2297.562,2297.562
29,82611.58,22,630.0,0.322,0.8,0,11471.47,60,13.3,Online,Personal Loan,0,0.4374092541283655,18021,0,0,0,A,0,0.0,1376.5764,0.0
22,63707.08,23,785.0,0.45,0.457,0,11871.14,36,5.0,Partner,Personal Loan,0,0.086996233261176,2712,0,0,1,A,0,0.0,1424.5367999999999,0.0
40,69484.86,22,652.0,0.276,0.734,0,21918.8,36,9.31,Online,Personal Loan,0,0.3411279642167866,1855,0,1,0,A,1,0.0,2630.256,2630.256
21,24507.31,13,651.0,0.418,0.476,0,14896.47,36,9.44,Online,Debt Consolidation,0,0.336155640243417,6565,0,0,0,A,0,0.0,1787.5764,0.0
21,68636.53,22,736.0,0.482,0.55,1,15593.77,60,7.11,Online,Personal Loan,0,0.2656107872636926,1298,0,0,0,A,0,0.0,1871.2524,0.0
26,68730.26,13,707.0,0.561,0.486,1,10547.55,36,10.8,Partner,Auto Refi,0,0.3662672372684554,19958,0,0,0,B,0,0.0,1265.706,0.0
40,66810.45,7,687.0,0.093,0.398,0,12630.29,36,5.0,Online,Personal Loan,0,0.1306322936665855,4526,0,1,1,A,1,0.0,1515.6348,1515.6348
40,61571.95,19,665.0,0.133,0.32,0,24153.38,36,5.0,Online,Debt Consolidation,1,0.1471516825587683,11230,0,1,1,B,1,14492.028,2898.4056,-11593.6224
43,77304.93,21,602.0,0.316,0.433,0,6081.24,36,12.22,Partner,Debt Consolidation,1,0.4740206089913563,2294,0,0,0,B,0,3648.7439999999997,729.7488,0.0
25,76437.74,23,749.0,0.356,0.203,0,15860.38,36,5.0,Partner,Personal Loan,0,0.0957771986676577,3780,0,1,1,B,1,0.0,1903.2455999999997,1903.2455999999997
32,78007.59,15,673.0,0.182,0.593,0,4067.47,36,5.0,Branch,Personal Loan,0,0.163342240777468,4572,0,1,1,A,1,0.0,488.09639999999996,488.09639999999996
44,39546.77,6,707.0,0.133,0.24,0,21206.14,60,5.0,Online,Auto Refi,0,0.1299715050177573,9906,0,1,1,A,1,0.0,2544.7367999999997,2544.7367999999997
66,86224.82,2,661.0,0.362,0.487,0,10322.42,36,7.52,Online,Personal Loan,0,0.2017716062347531,14849,0,1,0,A,1,0.0,1238.6904,1238.6904
32,56671.63,11,629.0,0.242,0.312,0,20788.8,36,6.85,Online,Debt Consolidation,0,0.2207089670001444,5669,0,0,0,A,0,0.0,2494.656,0.0
38,46141.61,22,541.0,0.299,0.273,1,19610.21,36,21.99,Online,Auto Refi,0,0.6371958974895754,10182,0,0,0,B,0,0.0,2353.2252,0.0
45,59045.82,23,727.0,0.403,0.612,1,3771.38,36,7.16,Branch,Personal Loan,1,0.2591924675833316,9537,0,0,0,A,0,2262.828,452.5656,0.0
57,99625.34,7,740.0,0.307,0.772,1,15065.87,60,5.92,Branch,Auto Refi,0,0.1646017887337198,19298,0,1,1,A,1,0.0,1807.9044000000001,1807.9044000000001
48,95292.06,9,703.0,0.237,0.589,0,2019.19,36,5.0,Branch,Personal Loan,0,0.1584233033093007,15202,0,1,1,A,1,0.0,242.3028,242.3028
35,56181.35,4,551.0,0.324,0.35,1,3023.23,36,22.27,Partner,Personal Loan,0,0.6654218045057247,14145,0,0,0,A,0,0.0,362.7876,0.0
51,40037.82,2,653.0,0.642,0.519,0,15511.26,60,14.22,Online,Personal Loan,0,0.4729546594207587,19339,0,0,0,A,0,0.0,1861.3512,0.0
54,54773.72,20,676.0,0.283,0.297,0,10574.98,60,5.0,Online,Debt Consolidation,0,0.161880282777466,17146,0,1,1,B,1,0.0,1268.9976,1268.9976
45,44827.3,17,769.0,0.268,0.229,0,29066.06,60,5.0,Partner,Debt Consolidation,0,0.0693770368923197,2254,0,1,1,A,1,0.0,3487.9272,3487.9272
64,66975.37,1,629.0,0.455,0.292,1,20926.05,36,15.21,Online,Debt Consolidation,0,0.4169966399416178,12189,0,0,0,B,0,0.0,2511.1259999999997,0.0
39,56942.66,20,786.0,0.238,0.285,0,2000.0,36,5.0,Online,Debt Consolidation,0,0.0708546550170226,19883,0,1,1,A,1,0.0,240.0,240.0
28,69935.43,0,694.0,0.265,0.465,0,13495.75,36,5.0,Branch,Debt Consolidation,0,0.1390074938254001,9777,0,1,1,B,1,0.0,1619.49,1619.49
39,68544.32,2,777.0,0.296,0.25,0,26572.77,36,5.0,Online,Auto Refi,0,0.0732957813411335,3788,0,1,1,A,1,0.0,3188.7324,3188.7324
