age,income,employment_length_years,credit_score,dti,utilization,num_delinquencies_12m,loan_amount,term_months,interest_rate,channel,product_type,default_12m,pd_model,applicant_id
37,65387.32,14,686.0,0.241,0.279,0,6549.23,36,5.0,Branch,Personal Loan,0,0.1501300033950417,12507
25,117467.71,9,565.0,0.356,0.318,0,29344.62,36,16.06,Partner,Personal Loan,0,0.41785871849996115,7101
40,55514.75,16,663.0,0.33,0.234,0,7544.16,36,5.0,Partner,Auto Refi,0,0.15007037294431488,9820
24,40415.3,1,633.0,0.498,0.795,0,6549.59,60,16.74,Online,Auto Refi,1,0.6398268311037265,16921
52,88099.6,17,652.0,0.272,0.039,0,29276.31,36,15.44,Online,Personal Loan,0,0.4767655151459968,762
67,53460.48,19,545.0,0.14,0.543,0,13199.82,36,16.34,Partner,Debt Consolidation,1,0.4606057238242177,10528
42,86781.63,20,752.0,0.293,0.683,0,18286.71,60,5.0,Partner,Personal Loan,1,0.09791518797441606,14466
57,60878.48,5,816.0,0.242,0.408,0,24367.19,60,5.0,Online,Debt Consolidation,0,0.07492211867087223,11182
47,75524.97,13,704.0,0.372,0.075,0,11807.82,60,5.0,Online,Personal Loan,0,0.1326103696753933,13775
45,85267.83,12,811.0,0.05,0.823,0,24345.73,36,5.0,Branch,Personal Loan,1,0.10899381012490528,5479
23,67702.43,1,706.0,0.247,0.551,1,24759.45,60,6.0,Online,Auto Refi,0,0.1874574120665517,7928
21,95538.68,16,767.0,0.263,0.283,0,12009.98,36,5.84,Branch,Personal Loan,0,0.11923700595003608,8080
40,60013.11,15,700.0,0.163,0.535,0,29418.44,36,5.0,Online,Personal Loan,0,0.158244375070693,14954
36,74276.8,15,811.0,0.06,0.063,1,13683.67,60,5.0,Online,Personal Loan,0,0.0633029527276156,19034
48,75321.92,17,712.0,0.262,0.531,0,32872.84,36,5.0,Online,Auto Refi,1,0.14494231357790294,9278
33,54265.65,16,642.0,0.56,0.154,0,11530.47,36,9.7,Online,Personal Loan,1,0.36997553008070927,14856
45,86242.3,16,603.0,0.184,0.061,1,19592.09,36,9.97,Branch,Debt Consolidation,0,0.2929150795635042,14901
21,94868.97,6,662.0,0.305,0.49,0,17352.25,60,6.57,Online,Auto Refi,0,0.22551900188602933,7710
30,74230.0,2,699.0,0.421,0.22,0,6213.82,60,5.0,Partner,Auto Refi,0,0.17301436057945485,8372
32,31476.57,2,666.0,0.293,0.597,0,5400.79,36,6.98,Online,Personal Loan,1,0.21864880260256744,13633
41,61993.42,8,695.0,0.34,0.843,0,16271.09,60,7.3,Online,Personal Loan,0,0.2513696077397649,8557
56,76786.33,20,753.0,0.247,0.486,0,19322.2,60,5.0,Online,Personal Loan,0,0.09551027118150247,10418
45,84686.57,14,607.0,0.431,0.438,0,23399.26,60,25.0,Online,Debt Consolidation,0,0.7867094077455429,5674
60,70063.8,5,656.0,0.368,0.638,1,14453.24,60,14.28,Branch,Auto Refi,1,0.4089502213206833,14513
39,116422.11,8,806.0,0.254,0.487,0,19791.78,60,5.0,Online,Personal Loan,0,0.03791454716648484,13525
61,90727.96,20,691.0,0.261,0.289,0,13580.58,36,5.0,Branch,Personal Loan,0,0.15871501107576438,962
45,75338.3,7,658.0,0.328,0.355,1,24637.34,36,10.06,Branch,Personal Loan,0,0.32095649235415896,4802
51,83416.29,6,665.0,0.386,0.639,0,16483.99,36,9.04,Branch,Personal Loan,1,0.3422923296960934,19182
48,52277.43,22,611.0,0.224,0.163,0,12751.53,36,6.85,Online,Personal Loan,0,0.2209021794096762,15927
27,78976.54,20,603.0,0.465,0.246,0,11281.2,60,13.08,Branch,Personal Loan,0,0.38972017885257454,4721
29,80008.49,12,629.0,0.344,0.48,0,21440.96,36,24.62,Branch,Personal Loan,0,0.630106771880381,4522
53,100821.8,11,719.0,0.24,0.396,0,22448.46,60,11.1,Online,Personal Loan,1,0.33491007447587884,11570
64,65155.26,21,773.0,0.433,0.555,0,19285.72,60,5.0,Online,Personal Loan,0,0.0874637423719994,1487
25,43203.6,9,647.0,0.05,0.578,0,5269.02,36,5.0,Branch,Debt Consolidation,0,0.13614709176156142,15373
24,58241.27,12,739.0,0.237,0.285,0,11480.49,60,5.0,Partner,Auto Refi,0,0.08363611051523395,16540
39,81035.83,16,688.0,0.413,0.368,0,22184.02,36,5.06,Online,Debt Consolidation,1,0.16956239298287332,10296
62,81073.6,20,640.0,0.568,0.32,0,7475.1,36,11.85,Partner,Debt Consolidation,0,0.4453704938881391,15405
38,39161.8,4,657.0,0.327,0.457,0,13641.68,36,7.02,Online,Auto Refi,0,0.2346719920814459,1914
23,80579.47,11,727.0,0.294,0.065,0,19021.01,36,5.0,Branch,Auto Refi,0,0.08494418440383182,7803
52,31017.77,6,665.0,0.216,0.409,0,18015.98,60,5.0,Partner,Debt Consolidation,0,0.17024660423590823,8197
31,71281.82,9,695.0,0.602,0.461,1,5284.23,36,12.66,Branch,Personal Loan,0,0.41455026882344975,9043
64,22638.76,5,646.0,0.292,0.331,0,23304.92,36,6.35,Online,Personal Loan,0,0.20697430564353028,16688
56,37643.14,13,696.0,0.181,0.684,0,5529.84,36,5.0,Online,Auto Refi,0,0.1515167505893506,19495
27,35234.39,19,734.0,0.247,0.626,0,11842.8,60,5.0,Branch,Personal Loan,0,0.10072493283824882,19632
31,57233.55,10,649.0,0.436,0.535,0,23501.02,36,10.52,Online,Personal Loan,0,0.3232042073978203,18781
35,70546.73,6,722.0,0.411,0.536,1,10768.73,60,7.1,Partner,Auto Refi,0,0.24927680443978523,8180
68,67446.82,17,533.0,0.355,0.284,1,11343.19,36,24.14,Online,Auto Refi,1,0.5825317564394782,14153
48,88636.33,5,708.0,0.449,0.181,1,6378.77,36,5.83,Branch,Personal Loan,0,0.19074491236600932,4456
33,63256.51,20,502.0,0.233,0.472,0,9846.34,60,22.57,Online,Debt Consolidation,1,0.6085120785105631,12646
29,96986.9,3,608.0,0.482,0.749,1,11688.21,60,23.61,Online,Personal Loan,1,0.6800579775411232,8465
67,62663.7,7,635.0,0.394,0.414,0,15559.2,36,9.99,Online,Personal Loan,0,0.3062572636153683,1852
48,49939.18,20,744.0,0.439,0.236,1,14421.46,36,5.0,Branch,Auto Refi,0,0.12858927427353922,7885
58,46113.86,8,812.0,0.454,0.38,0,19211.59,60,5.0,Partner,Auto Refi,0,0.06368655283717557,16908
34,62339.73,10,566.0,0.156,0.347,0,15356.53,36,11.93,Online,Auto Refi,0,0.39246253668922776,1806
36,84948.88,21,652.0,0.204,0.636,0,22493.09,60,7.1,Branch,Personal Loan,0,0.23160063877996775,9257
42,24369.08,2,804.0,0.397,0.204,0,14442.42,60,5.0,Partner,Personal Loan,0,0.06708752450639881,12436
35,61411.7,21,689.0,0.382,0.577,0,7027.94,36,6.21,Online,Personal Loan,0,0.22379413300076564,15784
24,59411.83,20,816.0,0.379,0.404,0,9902.26,36,5.0,Online,Auto Refi,0,0.07856515061433043,16401
24,61603.33,14,656.0,0.372,0.498,0,13250.56,36,8.3,Online,Personal Loan,1,0.26659535997923595,19152
58,107895.59,10,656.0,0.511,0.394,0,15289.47,36,24.14,Online,Debt Consolidation,0,0.6264188846545365,9779
69,87068.72,5,802.0,0.493,0.344,0,15028.17,60,5.0,Partner,Personal Loan,0,0.0779628572357935,17035
35,93316.68,4,731.0,0.32,0.776,0,2000.0,36,15.81,Branch,Personal Loan,1,0.3673362798468418,16912
48,69363.15,3,805.0,0.29,0.373,1,14040.97,60,5.0,Online,Auto Refi,1,0.08491510955628181,4261
53,51328.69,1,680.0,0.169,0.151,0,9137.3,60,5.0,Online,Auto Refi,0,0.1528731882249556,7880
40,66496.93,1,752.0,0.129,0.04,0,26244.14,36,5.0,Online,Debt Consolidation,0,0.05953387566226137,16579
36,66683.47,17,685.0,0.515,0.869,0,14015.57,36,11.91,Partner,Personal Loan,1,0.3423057125694389,2640
47,88641.97,7,630.0,0.128,0.42,2,10643.27,36,14.5,Online,Auto Refi,0,0.42116167173519603,9027
53,64168.13,21,672.0,0.441,0.501,0,9268.2,36,8.0,Branch,Personal Loan,0,0.27827905353555393,17473
45,74368.8,21,676.0,0.423,0.306,0,20886.96,36,5.65,Branch,Debt Consolidation,0,0.19406785203820737,16376
25,38888.45,4,548.0,0.524,0.474,0,18747.99,36,23.39,Online,Auto Refi,0,0.7053248301332875,16670
55,68589.26,6,522.0,0.408,0.692,0,20176.55,60,25.0,Branch,Personal Loan,1,0.8153438881498454,6938
43,92108.57,16,702.0,0.21,0.416,0,3213.4,36,5.0,Online,Auto Refi,0,0.15189529830444132,16673
42,84273.22,15,762.0,0.148,0.312,0,16395.75,60,5.0,Online,Auto Refi,0,0.07005679540277136,17044
28,66420.32,19,634.0,0.551,0.259,0,13183.84,60,11.48,Partner,Personal Loan,0,0.4414869867428329,13598
55,92831.83,13,577.0,0.297,0.595,1,6826.64,36,21.52,Online,Personal Loan,1,0.6116281538750898,8314
38,39488.04,19,555.0,0.271,0.414,1,18769.85,60,21.45,Online,Auto Refi,0,0.605123279647302,4632
48,65527.62,14,715.0,0.271,0.416,0,17692.57,60,5.0,Online,Auto Refi,0,0.13809837396329297,10041
55,62802.52,24,634.0,0.201,0.206,1,21575.85,60,8.63,Partner,Personal Loan,1,0.33308397984612115,14991
44,69277.97,2,726.0,0.214,0.277,0,12321.71,36,5.0,Online,Auto Refi,0,0.11276790574175699,13315
54,50898.08,4,770.0,0.338,0.263,0,21655.68,60,5.0,Online,Auto Refi,0,0.06706813474388734,7666
60,62203.92,5,607.0,0.576,0.753,0,14648.23,60,21.04,Online,Personal Loan,1,0.5988775291358945,1942
54,51461.33,18,567.0,0.462,0.488,0,13400.83,36,20.19,Partner,Personal Loan,1,0.6025137412272408,17330
22,71201.46,24,484.0,0.392,0.754,1,27910.86,36,25.0,Online,Personal Loan,1,0.7679270796871641,15100
64,71787.09,6,701.0,0.298,0.566,0,18137.38,36,5.0,Online,Auto Refi,0,0.15127908914758376,10759
35,20424.27,17,660.0,0.443,0.401,0,17591.53,60,8.22,Online,Auto Refi,1,0.26532958560257036,12564
26,78221.38,0,584.0,0.488,0.4,0,30177.01,60,17.62,Online,Auto Refi,0,0.5895535919126804,8300
69,64725.61,5,733.0,0.3,0.586,0,17468.07,36,5.0,Partner,Personal Loan,0,0.10704520377637994,11020
40,48155.36,13,658.0,0.239,0.664,0,22837.65,60,7.39,Online,Personal Loan,0,0.21407469108478117,13025
52,37964.05,9,686.0,0.407,0.452,0,18159.64,36,5.83,Branch,Personal Loan,0,0.22698528587363956,5213
41,33828.75,12,703.0,0.329,0.349,0,7636.71,36,5.0,Branch,Debt Consolidation,0,0.1499695483108939,16163
39,75805.52,10,695.0,0.099,0.961,1,12831.48,36,8.16,Online,Personal Loan,0,0.43796368612842773,16748
40,71378.15,4,647.0,0.412,0.548,0,13032.31,60,10.52,Online,Personal Loan,0,0.32469976812192897,8635
59,69721.06,21,688.0,0.508,0.047,0,16240.27,60,5.0,Online,Auto Refi,0,0.18968041288269002,16278
35,62116.73,22,657.0,0.262,0.774,0,17700.59,60,8.88,Branch,Personal Loan,0,0.3171177901695918,1870
65,86380.55,12,745.0,0.444,0.606,1,17709.98,36,6.2,Online,Auto Refi,0,0.18156285036119876,9036
63,41049.64,5,607.0,0.305,0.625,1,9581.36,60,18.53,Online,Personal Loan,1,0.5421214362657429,4089
58,46194.75,0,666.0,0.158,0.662,0,12353.15,60,5.43,Branch,Auto Refi,0,0.1688128676770116,15966
24,48608.39,14,682.0,0.388,0.544,0,15539.87,60,6.61,Branch,Auto Refi,0,0.23131095973538934,11352
47,46353.15,16,659.0,0.316,0.562,0,9958.28,36,7.63,Branch,Auto Refi,0,0.24646418655849112,6192
29,48765.93,4,708.0,0.432,0.428,0,15781.65,60,5.0,Online,Personal Loan,1,0.12657238594919493,11269
33,73789.41,7,759.0,0.075,0.219,0,15771.39,60,5.0,Online,Personal Loan,0,0.07662766100305862,12143
67,57707.83,5,653.0,0.28,0.552,0,8567.41,36,7.55,Partner,Personal Loan,0,0.2417096235088424,6109
46,76423.54,9,697.0,0.178,0.55,0,15516.59,36,5.0,Online,Auto Refi,0,0.15335198663775634,17446
55,84578.09,18,601.0,0.209,0.56,0,12505.94,36,11.54,Online,Debt Consolidation,0,0.3939962259008684,3351
61,48785.16,3,690.0,0.396,0.589,0,17921.15,36,6.4,Online,Debt Consolidation,0,0.2784166665226016,3963
22,63419.03,1,668.0,0.373,0.362,0,3519.1,36,6.03,Branch,Personal Loan,0,0.20275468844517353,7580
41,62972.47,15,782.0,0.452,0.98,0,16197.79,36,5.0,Online,Debt Consolidation,0,0.08729866241079641,3240
40,78210.72,1,743.0,0.229,0.563,0,13791.0,36,5.0,Online,Debt Consolidation,0,0.08797620809653212,14607
33,70627.0,21,691.0,0.205,0.841,0,7379.33,36,5.52,Online,Personal Loan,0,0.20800157285220863,5034
39,59236.09,8,731.0,0.431,0.806,2,11211.31,36,13.69,Online,Personal Loan,1,0.3826439117876806,5629
40,53354.85,20,766.0,0.355,0.438,1,9558.42,36,5.0,Branch,Personal Loan,0,0.10760646660489051,322
31,31825.35,15,648.0,0.276,0.141,0,3370.16,36,5.0,Online,Personal Loan,1,0.1409078680826126,16412
62,104100.15,0,663.0,0.479,0.401,1,19261.79,36,13.09,Online,Auto Refi,0,0.40105093840328576,7415
29,80044.83,15,651.0,0.316,0.787,1,23976.44,36,15.52,Online,Debt Consolidation,1,0.5377087044911973,9232
33,90950.89,17,557.0,0.265,0.324,0,14108.41,36,15.09,Online,Auto Refi,1,0.49216966853688804,11510
46,87311.46,15,645.0,0.33,0.502,0,25084.52,36,8.61,Online,Personal Loan,0,0.30558361552933455,10228
45,54473.81,6,761.0,0.171,0.333,0,19146.35,36,5.0,Online,Auto Refi,0,0.07583270061150979,6984
29,82611.58,22,630.0,0.322,0.8,0,11471.47,60,13.3,Online,Personal Loan,0,0.4374092541283655,18021
22,63707.08,23,785.0,0.45,0.457,0,11871.14,36,5.0,Partner,Personal Loan,0,0.08699623326117603,2712
40,69484.86,22,652.0,0.276,0.734,0,21918.8,36,9.31,Online,Personal Loan,0,0.3411279642167866,1855
21,24507.31,13,651.0,0.418,0.476,0,14896.47,36,9.44,Online,Debt Consolidation,0,0.336155640243417,6565
21,68636.53,22,736.0,0.482,0.55,1,15593.77,60,7.11,Online,Personal Loan,0,0.2656107872636926,1298
26,68730.26,13,707.0,0.561,0.486,1,10547.55,36,10.8,Partner,Auto Refi,0,0.36626723726845545,19958
40,66810.45,7,687.0,0.093,0.398,0,12630.29,36,5.0,Online,Personal Loan,0,0.13063229366658557,4526
40,61571.95,19,665.0,0.133,0.32,0,24153.38,36,5.0,Online,Debt Consolidation,1,0.14715168255876837,11230
43,77304.93,21,602.0,0.316,0.433,0,6081.24,36,12.22,Partner,Debt Consolidation,1,0.4740206089913563,2294
25,76437.74,23,749.0,0.356,0.203,0,15860.38,36,5.0,Partner,Personal Loan,0,0.09577719866765774,3780
32,78007.59,15,673.0,0.182,0.593,0,4067.47,36,5.0,Branch,Personal Loan,0,0.16334224077746806,4572
44,39546.77,6,707.0,0.133,0.24,0,21206.14,60,5.0,Online,Auto Refi,0,0.1299715050177573,9906
66,86224.82,2,661.0,0.362,0.487,0,10322.42,36,7.52,Online,Personal Loan,0,0.2017716062347531,14849
32,56671.63,11,629.0,0.242,0.312,0,20788.8,36,6.85,Online,Debt Consolidation,0,0.2207089670001444,5669
38,46141.61,22,541.0,0.299,0.273,1,19610.21,36,21.99,Online,Auto Refi,0,0.6371958974895754,10182
45,59045.82,23,727.0,0.403,0.612,1,3771.38,36,7.16,Branch,Personal Loan,1,0.2591924675833316,9537
57,99625.34,7,740.0,0.307,0.772,1,15065.87,60,5.92,Branch,Auto Refi,0,0.16460178873371986,19298
48,95292.06,9,703.0,0.237,0.589,0,2019.19,36,5.0,Branch,Personal Loan,0,0.15842330330930074,15202
35,56181.35,4,551.0,0.324,0.35,1,3023.23,36,22.27,Partner,Personal Loan,0,0.6654218045057247,14145
51,40037.82,2,653.0,0.642,0.519,0,15511.26,60,14.22,Online,Personal Loan,0,0.47295465942075876,19339
54,54773.72,20,676.0,0.283,0.297,0,10574.98,60,5.0,Online,Debt Consolidation,0,0.16188028277746605,17146
45,44827.3,17,769.0,0.268,0.229,0,29066.06,60,5.0,Partner,Debt Consolidation,0,0.06937703689231972,2254
64,66975.37,1,629.0,0.455,0.292,1,20926.05,36,15.21,Online,Debt Consolidation,0,0.41699663994161784,12189
39,56942.66,20,786.0,0.238,0.285,0,2000.0,36,5.0,Online,Debt Consolidation,0,0.0708546550170226,19883
28,69935.43,0,694.0,0.265,0.465,0,13495.75,36,5.0,Branch,Debt Consolidation,0,0.1390074938254001,9777
39,68544.32,2,777.0,0.296,0.25,0,26572.77,36,5.0,Online,Auto Refi,0,0.0732957813411335,3788
69,76189.17,6,670.0,0.269,0.459,0,18491.68,36,5.09,Branch,Personal Loan,0,0.15624332730459947,8122
56,75660.47,16,815.0,0.49,0.342,0,17257.33,60,5.0,Online,Debt Consolidation,0,0.08945542920793234,16229
26,66175.78,7,711.0,0.325,0.801,0,15449.0,36,5.43,Branch,Debt Consolidation,1,0.17834094476930293,2559
53,89931.6,0,682.0,0.39,0.181,0,17145.57,60,16.06,Online,Auto Refi,0,0.42409061895884576,10901
35,84377.74,24,618.0,0.334,0.259,1,22313.66,36,13.52,Online,Debt Consolidation,1,0.43027278812972203,18754
29,69611.41,12,751.0,0.323,0.512,1,7016.92,36,5.0,Branch,Personal Loan,0,0.13801480383147763,1073
44,84659.91,20,585.0,0.384,0.427,1,14560.91,60,20.5,Online,Debt Consolidation,0,0.5796984078013658,15959
52,88142.82,7,780.0,0.217,0.677,1,24567.94,36,5.0,Online,Auto Refi,0,0.09600119913134128,18402
58,35382.0,12,631.0,0.247,0.272,0,4762.44,60,6.46,Partner,Personal Loan,0,0.23488391841263281,8556
23,78642.16,2,656.0,0.309,0.353,1,7631.39,36,9.86,Branch,Personal Loan,0,0.3253624675318538,13956
48,78287.7,24,640.0,0.401,0.48,0,11824.04,36,10.26,Partner,Personal Loan,0,0.3510748413779028,15737
62,64166.63,5,764.0,0.229,0.472,0,16589.82,36,5.0,Branch,Personal Loan,0,0.08921548171117023,11501
66,62283.71,15,546.0,0.198,0.643,0,15073.24,36,18.69,Online,Auto Refi,1,0.5396687443650574,13402
67,41649.86,19,645.0,0.312,0.98,2,14800.62,36,23.17,Online,Debt Consolidation,1,0.7204839097243749,13865
45,52796.07,7,595.0,0.425,0.659,0,18529.75,60,18.02,Branch,Personal Loan,0,0.5226855344243262,11683
28,88600.54,15,680.0,0.503,0.398,1,23316.0,36,11.59,Online,Auto Refi,1,0.40180908101998913,13162
26,33723.39,0,650.0,0.227,0.337,0,24430.59,36,5.16,Online,Debt Consolidation,0,0.1570688569779387,7848
34,85576.96,3,759.0,0.535,0.16,2,16569.52,60,6.19,Online,Personal Loan,0,0.24687014133826235,17274
57,40455.22,21,679.0,0.194,0.52,1,27156.65,36,7.2,Online,Personal Loan,0,0.2521236448987524,13185
51,89572.69,15,719.0,0.593,0.317,1,3918.04,60,8.41,Partner,Personal Loan,1,0.38670337136538996,17027
68,43421.78,21,680.0,0.44,0.472,1,18363.17,60,11.15,Online,Auto Refi,0,0.3447221720742491,18122
43,81444.05,7,689.0,0.199,0.713,0,14529.59,36,5.0,Branch,Personal Loan,0,0.14981445015361192,5533
46,109886.87,19,767.0,0.268,0.687,0,18068.15,36,5.0,Branch,Personal Loan,0,0.08739278209189089,18632
54,58740.88,8,645.0,0.52,0.448,0,20929.89,60,25.0,Online,Personal Loan,1,0.8132879510116853,3256
57,87417.62,12,745.0,0.05,0.505,0,7130.15,36,5.0,Online,Debt Consolidation,0,0.08797507286133431,1626
21,58938.56,11,765.0,0.27,0.688,0,6753.57,60,5.0,Online,Personal Loan,0,0.06544555846898567,11362
30,83886.46,7,700.0,0.364,0.656,0,14718.2,36,5.68,Online,Debt Consolidation,1,0.17507316153790706,5748
46,95916.16,9,830.0,0.482,0.0,0,3449.4,36,5.0,Online,Personal Loan,0,0.05149698488230105,11562
46,60837.53,24,717.0,0.22,0.588,0,18323.38,36,5.0,Online,Personal Loan,0,0.13722188225364532,1094
32,80344.03,19,829.0,0.264,0.417,0,22003.14,36,5.0,Online,Personal Loan,1,0.055101316648816775,3477
27,48598.51,16,607.0,0.33,0.702,0,12167.89,60,15.11,Partner,Personal Loan,0,0.5410318392734714,11304
33,77118.46,21,631.0,0.059,0.516,2,12855.48,36,13.93,Branch,Personal Loan,1,0.38555476513773074,13187
58,82471.91,13,605.0,0.428,0.544,0,7261.18,60,15.58,Online,Personal Loan,0,0.44740623787857575,4672
41,82393.39,17,767.0,0.271,0.334,0,6818.53,36,5.0,Online,Personal Loan,0,0.06667881697251489,16430
31,46665.82,13,644.0,0.34,0.426,0,10141.9,36,8.18,Online,Personal Loan,0,0.27646301935366185,17718
28,77357.82,4,709.0,0.355,0.358,0,12605.75,36,5.0,Branch,Auto Refi,0,0.14109512338896402,8820
36,77678.04,5,654.0,0.226,0.153,1,4730.53,60,6.72,Online,Personal Loan,1,0.2255420339365675,5112
52,125581.86,18,668.0,0.378,0.468,0,12605.41,36,7.01,Partner,Personal Loan,0,0.1331535603051983,1793
51,59350.28,15,726.0,0.362,0.546,0,15904.3,36,5.0,Branch,Personal Loan,0,0.13759647419480267,8078
33,71671.69,9,717.0,0.477,0.205,0,8506.13,36,5.0,Online,Personal Loan,0,0.14274270857963745,10595
63,90015.0,10,768.0,0.219,0.335,2,31195.93,60,5.0,Partner,Auto Refi,0,0.13390013482395652,13012
62,40701.21,24,589.0,0.192,0.48,1,10644.16,60,16.46,Online,Debt Consolidation,0,0.5635139026167357,3060
68,54757.39,16,707.0,0.285,0.0,0,12005.48,36,5.0,Online,Personal Loan,0,0.10001293923671999,13427
38,88191.8,12,639.0,0.25,0.453,0,16559.92,60,7.34,Partner,Personal Loan,1,0.24215844471014417,308
68,90857.46,3,620.0,0.335,0.583,1,12009.69,60,17.22,Online,Personal Loan,1,0.49684658372846974,12249
24,31769.52,23,733.0,0.093,0.246,1,36720.11,36,5.0,Online,Auto Refi,0,0.48528794382343793,10822
41,49123.69,23,697.0,0.357,0.191,0,27472.92,36,5.0,Online,Auto Refi,0,0.1992028094793776,7699
53,55273.75,1,541.0,0.34,0.206,0,13167.0,60,17.25,Online,Auto Refi,0,0.5335185313241121,11626
58,63321.19,9,678.0,0.424,0.398,0,12790.13,36,6.24,Online,Personal Loan,0,0.25036526859740865,5809
26,56368.75,14,671.0,0.211,0.461,1,18716.96,60,7.69,Online,Personal Loan,0,0.2325823387406585,5470
51,69191.79,12,799.0,0.263,0.551,0,25512.35,36,5.0,Branch,Auto Refi,0,0.07941498902775009,2482
41,57433.55,19,688.0,0.254,0.435,0,12499.4,60,5.0,Branch,Debt Consolidation,0,0.15339418087060183,16717
52,53421.57,1,661.0,0.444,0.513,0,11908.69,36,9.3,Partner,Personal Loan,0,0.3579420451540629,4511
34,73438.53,23,690.0,0.27,0.298,0,14935.96,36,5.0,Branch,Auto Refi,0,0.14500905418329246,14805
27,53325.56,23,667.0,0.251,0.435,0,7687.86,60,5.0,Online,Personal Loan,0,0.1396291798010597,18831
33,105346.85,14,599.0,0.191,0.555,0,10601.13,36,11.35,Partner,Personal Loan,0,0.43004390521591396,11814
42,64290.59,10,650.0,0.335,0.226,0,13054.46,36,5.83,Partner,Auto Refi,0,0.18883232947203443,13257
48,103216.22,13,786.0,0.439,0.289,0,21803.29,60,7.02,Online,Auto Refi,1,0.323441825498512,13659
43,71784.41,8,582.0,0.297,0.749,0,9591.83,36,17.87,Online,Personal Loan,0,0.5345201567800728,502
60,72108.1,1,794.0,0.468,0.603,1,22579.96,60,5.0,Partner,Personal Loan,1,0.11019887584305738,12949
36,85204.24,6,733.0,0.347,0.823,0,15538.83,60,5.0,Online,Debt Consolidation,1,0.11701882186360474,8085
44,69594.47,0,580.0,0.28,0.228,1,10405.38,36,16.46,Online,Auto Refi,1,0.5279791423345529,11436
57,79807.93,21,751.0,0.49,0.542,0,12429.9,36,5.0,Partner,Personal Loan,1,0.13351899558937422,3194
50,81107.32,5,560.0,0.275,0.576,0,18725.22,36,17.93,Online,Debt Consolidation,1,0.5674984040753733,11023
43,48270.3,6,620.0,0.226,0.0,0,22865.59,60,5.0,Branch,Personal Loan,0,0.13897688282955967,15929
49,61786.27,7,588.0,0.219,0.354,0,21120.29,60,10.88,Online,Debt Consolidation,0,0.36766226897946735,1208
54,64837.48,4,713.0,0.434,0.654,0,10336.07,36,5.61,Branch,Auto Refi,0,0.1822442664235068,15319
23,81801.54,20,770.0,0.379,0.466,0,14204.32,60,9.21,Partner,Auto Refi,1,0.2909354484699192,11284
65,66875.73,14,785.0,0.334,0.21,2,27497.49,36,5.0,Online,Auto Refi,0,0.0996327843312277,14412
26,55699.34,24,699.0,0.21,0.395,1,10934.86,36,5.0,Branch,Personal Loan,0,0.17022359676593218,4443
28,82751.51,15,598.0,0.347,0.198,0,17091.33,60,10.65,Online,Debt Consolidation,0,0.36245630148205227,10557
36,68084.99,15,785.0,0.234,0.567,0,4859.07,60,5.0,Online,Auto Refi,0,0.07988145265853269,9168
35,83041.16,13,759.0,0.475,0.491,0,7277.04,36,5.0,Online,Personal Loan,0,0.1029594425690541,6110
65,87207.31,2,609.0,0.375,0.526,0,27216.77,36,25.0,Branch,Debt Consolidation,1,0.7333277494130798,19222
